NM_001321384	ACSBG2
NM_030924	ACSBG2
NM_001288968	ACSF2
NM_001288969	ACSF2
NM_001288970	ACSF2
NM_001288971	ACSF2
NM_001288972	ACSF2
NM_025149	ACSF2
NR_110232	ACSF2
NM_001127214	ACSF3
NM_001284316	ACSF3
NM_174917	ACSF3
NR_104293	ACSF3
NR_147928	ACSF3
NR_147929	ACSF3
NM_001243279	ACSF3
NR_045667	ACSF3
NM_001286710	ACSL1
NM_001286712	ACSL1
NM_001286708	ACSL1
NM_001995	ACSL1
NM_001286711	ACSL1
NM_001354158	ACSL3
NM_001354159	ACSL3
NM_004457	ACSL3
NM_203372	ACSL3
NM_001318509	ACSL4
NM_001318510	ACSL4
NM_004458	ACSL4
NM_022977	ACSL4
NM_203379	ACSL5
NM_203380	ACSL5
NM_016234	ACSL5
NM_001009185	ACSL6
NM_001205247	ACSL6
NM_015256	ACSL6
NM_001205248	ACSL6
NM_001205251	ACSL6
NM_001205250	ACSL6
NM_052956	ACSM1
NR_134918	ACSM1
NM_001318890	ACSM1
NM_001308169	ACSM2A
NM_001308172	ACSM2A
NM_001308954	ACSM2A
NM_001105069	ACSM2B
NM_182617	ACSM2B
NM_202000	ACSM3
NM_005622	ACSM3
NM_001080454	ACSM4
NM_001324373	ACSM5
NM_001324371	ACSM5
NM_001324372	ACSM5
NM_017888	ACSM5
NM_207321	ACSM6
NM_001252676	ACSS1
NM_001252675	ACSS1
NM_001252677	ACSS1
NM_032501	ACSS1
NM_001242393	ACSS2
NM_001076552	ACSS2
NM_018677	ACSS2
NM_001330242	ACSS3
NM_001330243	ACSS3
NM_024560	ACSS3
NM_001100	ACTA1
NM_001613	ACTA2
NM_001141945	ACTA2
NM_001320855	ACTA2
NR_125373	ACTA2-AS1
NM_001101	ACTB
NM_001017992	ACTBL2
NM_005159	ACTC1
NM_001199954	ACTG1
NM_001614	ACTG1
NR_037688	ACTG1
NR_036446	ACTG1P17
NR_033926	ACTG1P20
NR_024438	ACTG1P4
NM_001199893	ACTG2
NM_001615	ACTG2
NM_001024675	ACTL10
NM_177989	ACTL6A
NM_178042	ACTL6A
NM_004301	ACTL6A
NM_016188	ACTL6B
NR_134539	ACTL6B
NM_006687	ACTL7A
NM_006686	ACTL7B
NM_030812	ACTL8
NM_178525	ACTL9
NM_001130004	ACTN1
NM_001102	ACTN1
NM_001130005	ACTN1
NR_073422	ACTN1-AS1
NM_001103	ACTN2
NM_001278344	ACTN2
NM_001278343	ACTN2
NM_001258371	ACTN3
NR_047663	ACTN3
NM_001104	ACTN3
NM_001322033	ACTN4
NM_004924	ACTN4
NM_001322033_2	ACTN4
NM_004924_2	ACTN4
NM_018477	ACTR10
NM_005736	ACTR1A
NM_005735	ACTR1B
NM_001005386	ACTR2
NM_005722	ACTR2
NR_102318	ACTR3
NM_005721	ACTR3
NM_001277140	ACTR3
NR_110174	ACTR3-AS1
NM_001040135	ACTR3B
NM_001350940	ACTR3B
NM_001350941	ACTR3B
NM_001350942	ACTR3B
NM_001350943	ACTR3B
NM_001350944	ACTR3B
NM_001350945	ACTR3B
NM_001350946	ACTR3B
NR_146946	ACTR3B
NR_146947	ACTR3B
NR_146948	ACTR3B
NR_146949	ACTR3B
NR_146950	ACTR3B
NR_146951	ACTR3B
NM_020445	ACTR3B
NR_027714	ACTR3BP2
NR_045000	ACTR3BP5
NM_001351027	ACTR3C
NR_147020	ACTR3C
NR_147021	ACTR3C
NR_147022	ACTR3C
NM_001351029	ACTR3C
NM_001351030	ACTR3C
NR_147014	ACTR3C
NR_147015	ACTR3C
NR_147016	ACTR3C
NR_147017	ACTR3C
NR_147018	ACTR3C
NR_147019	ACTR3C
NM_001351028	ACTR3C
NR_147012	ACTR3C
NR_147013	ACTR3C
NM_001164459	ACTR3C
NM_001164458	ACTR3C
NM_024855	ACTR5
NM_022496	ACTR6
NR_048568	ACTR6
NR_048569	ACTR6
NM_022899	ACTR8
NM_138289	ACTRT1
NM_080431	ACTRT2
NM_032487	ACTRT3
NM_001347667	ACVR1
NM_001105	ACVR1
NM_001347663	ACVR1
NM_001347664	ACVR1
NM_001347665	ACVR1
NM_001347666	ACVR1
NM_001111067	ACVR1
NM_004302	ACVR1B
NM_020328	ACVR1B
NM_020327	ACVR1B
NM_001111031	ACVR1C
NM_001111032	ACVR1C
NM_001111033	ACVR1C
NM_145259	ACVR1C
NM_001278579	ACVR2A
NM_001278580	ACVR2A
NM_001616	ACVR2A
NM_001106	ACVR2B
NR_028389	ACVR2B-AS1
NM_000020	ACVRL1
NM_001077401	ACVRL1
NM_000666	ACY1
NM_001198895	ACY1
NM_001198896	ACY1
NM_001198897	ACY1
NM_001198898	ACY1
NM_080658	ACY3
NM_001107	ACYP1
NM_001302616	ACYP1
NR_126393	ACYP1
NR_126395	ACYP1
NM_001302617	ACYP1
NR_126394	ACYP1
NM_001320586	ACYP2
NM_001320587	ACYP2
NM_001320590	ACYP2
NM_001320589	ACYP2
NM_138448	ACYP2
NM_001320588	ACYP2
NM_001322050	ADA
NM_001322051	ADA
NR_136160	ADA
NM_000022	ADA
NM_177405	ADA2
NM_001282225	ADA2
NM_001282226	ADA2
NM_001282228	ADA2
NM_001282229	ADA2
NM_001282227	ADA2
NM_139243	ADAD1
NM_001159285	ADAD1
NM_001159295	ADAD1
NM_001145400	ADAD2
NM_139174	ADAD2
NM_001324364	ADAL
NM_001012969	ADAL
NM_001324365	ADAL
NM_001324367	ADAL
NM_001324368	ADAL
NM_001159280	ADAL
NM_001324366	ADAL
NM_001110	ADAM10
NM_001320570	ADAM10
NM_001318933	ADAM11
NM_002390	ADAM11
NM_001288973	ADAM12
NM_003474	ADAM12
NM_001288974	ADAM12
NM_001288975	ADAM12
NM_021641	ADAM12
NM_001261466	ADAM15
NM_001261464	ADAM15
NM_001261465	ADAM15
NM_003815	ADAM15
NM_207191	ADAM15
NM_207194	ADAM15
NM_207195	ADAM15
NM_207196	ADAM15
NM_207197	ADAM15
NR_048577	ADAM15
NR_048578	ADAM15
NR_048579	ADAM15
NM_003183	ADAM17
NM_001190956	ADAM18
NM_001320313	ADAM18
NM_014237	ADAM18
NR_135201_2	ADAM18
NM_001190956_2	ADAM18
NM_001320313_2	ADAM18
NM_014237_2	ADAM18
NR_135201	ADAM18
NM_033274	ADAM19
NM_001278113	ADAM2
NM_001278114	ADAM2
NM_001464	ADAM2
NM_001278113_2	ADAM2
NM_001278114_2	ADAM2
NM_001464_2	ADAM2
NM_003814	ADAM20
NR_037933	ADAM20P1
NM_003813	ADAM21
NR_003951	ADAM21P1
NM_004194	ADAM22
NM_021721	ADAM22
NM_001324417	ADAM22
NM_001324418	ADAM22
NM_001324419	ADAM22
NM_001324420	ADAM22
NM_001324421	ADAM22
NM_016351	ADAM22
NM_021722	ADAM22
NM_021723	ADAM22
NM_003812	ADAM23
NM_021777	ADAM28
NR_130709	ADAM28
NM_001304351	ADAM28
NM_014265	ADAM28
NR_130710	ADAM28
NM_001130703	ADAM29
NM_001130704	ADAM29
NM_001130705	ADAM29
NM_001278125	ADAM29
NM_001278126	ADAM29
NM_001278127	ADAM29
NM_014269	ADAM29
NM_021794	ADAM30
NM_001313994	ADAM32
NM_145004_2	ADAM32
NM_001313994_2	ADAM32
NM_145004	ADAM32
NM_001282447	ADAM33
NM_025220	ADAM33
NM_153202	ADAM33
NR_001569	ADAM3A
NR_024106	ADAM3A
NR_024107	ADAM3A
NR_073423	ADAM3A
NR_144553	ADAM3B
NR_001448	ADAM5
NR_001448_2	ADAM5
NR_002224	ADAM6
NR_002224_2	ADAM6
NM_003817	ADAM7
NM_001109	ADAM8
NM_001164489	ADAM8
NM_001164490	ADAM8
NM_003816_2	ADAM9
NR_027638	ADAM9
NR_027639_2	ADAM9
NR_027878	ADAM9
NM_003816	ADAM9
